Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1,21.278,4.237,861733.779,34155796.78,4446658560,24228876288,2325946368,33339895808
2,4.606,2.282,0,1245184,4489502720,24193069056,2325954560,33334251520
3,3.763,2.854,0,1736704,4489052160,24559013888,2325962752,32976470016
4,3.531,2.576,0,1327104,4487852032,25927524352,2325975040,31642435584
5,4.163,3.215,0,1654784,4491403264,26718445568,2325983232,30868680704
6,3.988,2.659,0,1617920,4488523776,26795061248,2325991424,30796824576
7,4.772,3.373,0,364544,4473327616,26783645696,2326003712,30823743488
8,4.431,2.258,0,38989824,4500180992,26755891200,2326016000,30824062976
9,10.004,7.152,0,3014656,4601696256,26651226112,2326024192,30824488960
10,8.993,2.888,0,37474304,4750364672,26476236800,2326093824,30847082496
11,19.016,3.886,0,21667840,4888584192,26328432640,2326134784,30853476352
12,23.029,3.302,0,13762560,5027422208,26212835328,2326167552,30827950080
13,29.269,5.553,0,44306432,5232254976,25854312448,2326192128,30976598016
14,33.761,2.527,16384,757760,5325336576,25755865088,2326204416,30980837376
15,45.42,2.165,0,376832,5436633088,25638289408,2326212608,30986829824
16,6.421,2.237,4489216,23261184,5234057216,25834053632,2326228992,30993371136
17,5.108,1.246,0,0,5264048128,25803628544,2326228992,30993379328
18,4.203,0.583,0,1290240,5322563584,25745055744,2326241280,30993399808
19,0.542,1.251,0,0,5324550144,25742962688,2326241280,30993498112
20,0.582,1.206,0,0,5325004800,25742409728,2326241280,30993514496
21,0.707,1.33,0,0,5325721600,25741570048,2326241280,30993604608
22,0.707,1.289,0,4096,5326430208,25740824576,2326241280,30993641472
23,0.417,0.25,0,0,5323300864,25744261120,2326241280,30993666048
24,0.458,1.457,0,94208,5323649024,25744007168,2326245376,30993682432
25,0.584,1.459,0,12288,5325631488,25741807616,2326245376,30993883136
26,0.25,1.208,0,0,5325389824,25742032896,2326245376,30993899520
27,0.292,0.71,0,0,5326270464,25741099008,2326245376,30993928192
28,0.417,0.625,0,24576,5326704640,25740566528,2326245376,30994026496
29,0.5,1.376,0,761856,5336756224,25730441216,2326245376,30994067456
30,4.377,1.751,0,1531904,5255688192,25811922944,2326257664,30993453056
31,4.867,1.373,0,536576,5278330880,25789222912,2326261760,30993457152
32,1.248,0.707,0,1253376,5284392960,25783164928,2326261760,30993461248
33,0.458,1.166,0,0,5284831232,25782665216,2326261760,30993481728
