Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
79,0.625,1.667,0,0,6664290304,11804098560,2892140544,41577353216
80,0.666,1.333,0,0,6663925760,11804438528,2892140544,41577590784
81,0.334,1.169,0,0,6663729152,11804602368,2892140544,41577623552
82,0.459,1.001,0,0,6663970816,11804278784,2892140544,41577746432
83,2.750,1.208,0,2265088,6602727424,11865817088,2892140544,41577336832
84,4.538,1.207,0,0,6622507008,11846074368,2892140544,41577152512
85,2.667,1.458,0,1302528,6661718016,11806834688,2892140544,41577156608
86,0.541,1.457,0,0,6662856704,11805691904,2892140544,41577160704
87,0.748,0.665,0,0,6663016448,11805528064,2892140544,41577164800
88,0.333,1.167,0,0,6662340608,11806191616,2892140544,41577168896
89,0.292,1.209,0,0,6662336512,11806175232,2892140544,41577189376
90,0.375,1.292,0,114688,6662070272,11806429184,2892140544,41577201664
91,0.333,1.292,0,0,6661783552,11806707712,2892140544,41577209856
92,0.333,0.333,0,0,6662017024,11806470144,2892140544,41577213952
93,0.333,1.166,0,0,6662660096,11805802496,2892140544,41577222144
94,0.334,1.376,0,0,6660722688,11807756288,2892140544,41577222144
95,0.334,1.334,0,81920,6659981312,11808493568,2892140544,41577226240
96,0.292,1.167,0,5709824,6660120576,11808337920,2892140544,41577226240
97,0.250,0.459,0,0,6658490368,11809976320,2892140544,41577226240
98,0.334,1.126,0,0,6658600960,11809873920,2892140544,41577226240
99,0.208,1.459,0,0,6659366912,11809120256,2892140544,41577230336
100,4.542,1.792,0,847872,6721765376,11745828864,2892140544,41577295872
101,3.995,1.248,32768,10276864,6757064704,11708432384,2892140544,41577730048
102,1.873,0.916,32768,11354112,6764445696,11701329920,2892144640,41577390080
103,6.356,1.786,0,4096,6824443904,11641167872,2892144640,41577447424
104,4.128,1.793,0,0,6871166976,11594420224,2892144640,41577455616
105,3.447,1.744,0,0,6901542912,11564040192,2892144640,41577459712
106,3.128,1.084,0,20480,6934257664,11531300864,2892144640,41577484288
107,2.836,1.376,0,114688,6964350976,11501203456,2892144640,41577488384
108,2.882,1.629,0,0,6992773120,11472777216,2892144640,41577492480
109,2.924,1.462,0,0,7022637056,11442913280,2892144640,41577492480
110,3.822,1.745,0,12288,7045967872,11419578368,2892144640,41577496576
111,4.092,1.336,0,6180864,6614507520,11850846208,2892148736,41577529344
112,5.093,1.656,0,0,6679494656,11785846784,2892148736,41577525248
113,5.532,1.664,0,0,6725554176,11739680768,2892148736,41577533440
114,4.462,1.626,0,0,6774784000,11690246144,2892148736,41577533440
