Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1,22.587,4.421,882556.664,35066483.42,4417220608,17235931136,2241810432,40072982528
2,4.6,2.362,0,876544,4475318272,17182588928,2241810432,40069685248
3,4.764,2.875,0,2629632,4490682368,17177939968,2241814528,40062627840
4,3.315,3.357,0,2457600,4489510912,18053160960,2241822720,39204835328
5,4.089,2.685,0,1179648,4493115392,19669491712,2241835008,37625929728
6,2.895,3.557,0,2244608,4492529664,21930430464,2241843200,35416854528
7,4.421,2.851,0,2203648,4492148736,22296698880,2241859584,35062009856
8,4.559,2.86,0,1495040,4499021824,22327435264,2241888256,35025690624
9,4.26,3.681,0,1445888,4500807680,22328946688,2241892352,35024547840
10,4.894,1.991,0,405504,4506972160,22295187456,2241896448,35051921408
11,7.894,6.398,0,38490112,4691906560,22108688384,2241925120,35052310528
12,13.078,4.497,0,3993600,4754403328,22028210176,2241961984,35065143296
13,21.896,3.849,0,52330496,4963954688,21802663936,2241990656,35079360512
14,22.578,3.079,0,7421952,5066481664,21723328512,2242039808,35054653440
15,38.535,3.579,0,47345664,5201711104,21543858176,2242043904,35095064576
16,45.523,5.206,16384,8028160,5398724608,21234130944,2242060288,35205169152
17,32.331,1.88,0,1716224,5443592192,21180743680,2242064384,35213086720
18,4.38,1.585,4489216,1679360,5467176960,21148774400,2242064384,35221348352
19,4.037,1.706,0,21557248,5305532416,21310152704,2242068480,35221364736
20,4.42,0.375,0,0,5358247936,21257388032,2242068480,35221364736
21,1.417,1.292,0,1265664,5366398976,21249007616,2242068480,35221463040
22,0.583,1.373,0,0,5336023040,21279301632,2242068480,35221512192
23,0.25,1.335,0,0,5336600576,21278654464,2242068480,35221581824
24,0.417,0.96,0,0,5337399296,21277798400,2242068480,35221639168
25,0.543,0.501,0,0,5334376448,21280997376,2242068480,35221667840
26,0.5,1.166,0,81920,5333495808,21281898496,2242068480,35221872640
27,0.459,1.418,0,12288,5334773760,21280497664,2242068480,35221995520
28,1.584,1.751,0,2273280,5214699520,21401051136,2242072576,35221422080
29,4.292,0.833,0,0,5274214400,21341405184,2242072576,35221454848
30,3.63,0.834,0,1253376,5332557824,21282996224,2242084864,35221458944
31,0.292,1.336,0,0,5333897216,21281603584,2242084864,35221479424
32,4.196,1.454,0,671744,5350342656,21264691200,2242088960,35221475328
33,4.379,1.585,16384,352256,5399969792,21212934144,2242097152,35221540864
34,1.463,0.919,49152,13713408,5409607680,21202497536,2242129920,35222044672
35,5.442,1.246,0,1445888,5445718016,21166653440,2242129920,35221696512
36,4.669,1.751,0,0,5509001216,21103382528,2242129920,35221700608
37,4.287,1.525,0,12288,5541744640,21070635008,2242129920,35221704704
38,3.083,1.5,0,12288,5574021120,21038309376,2242129920,35221721088
39,3.044,0.584,0,0,5605167104,21007159296,2242129920,35221725184
40,2.836,1.71,0,86016,5636268032,20976058368,2242129920,35221725184
41,2.919,1.585,0,0,5664452608,20947869696,2242129920,35221729280
42,3.745,1.665,0,0,5688918016,20923400192,2242129920,35221733376
43,3.99,2.12,0,2334720,5270446080,21341773824,2242134016,35221762048
44,3.925,1.879,0,8429568,5275500544,21266837504,2242146304,35291627520
45,3.688,2.431,0,1093632,5277163520,21203210240,2242146304,35353591808
46,4.513,2.716,0,0,5278621696,21073453056,2242146304,35481890816
47,4.603,2.469,0,12288,5275680768,20912623616,2242146304,35645661184
48,4.521,2.302,0,0,5274689536,20756221952,2242146304,35803054080
49,3.455,1.873,19922944,6778880,5251649536,20705873920,2242166784,35876421632
50,3.254,1.836,0,1175552,5254344704,20674719744,2242179072,35904868352
51,0.25,1.417,0,12288,5254230016,20674670592,2242179072,35904999424
52,0.416,1.372,0,0,5254340608,20674560000,2242179072,35904999424
53,0.208,0.709,0,0,5254467584,20674433024,2242179072,35904999424
54,0.125,0.793,0,4096,5254701056,20674199552,2242179072,35904999424
55,0.125,1.126,0,327680,5254889472,20673994752,2242183168,35904995328
56,0.25,1.251,0,0,5254983680,20673900544,2242183168,35904995328
57,0.209,1.293,0,12288,5256638464,20672237568,2242183168,35905003520
58,0.25,0.5,0,0,5257551872,20671324160,2242183168,35905003520
59,0.25,0.751,0,4096,5257244672,20671631360,2242183168,35905003520
60,0.334,1.378,0,57344,5257166848,20671692800,2242183168,35905003520
61,1.172,2.219,0,119173120,5247664128,20687757312,2242183168,35904942080
62,0.167,1.38,0,273317888,5249236992,20686176256,2242183168,35904942080
63,4.339,2.211,0,68431872,4628946944,21307834368,2242224128,35905056768
64,2.048,2.048,16384,2682880,4527616000,21413904384,2242224128,35904811008
65,3.878,3.044,0,2998272,4514779136,21887782912,2242232320,35450884096
66,4.86,2.801,0,0,4516880384,21858664448,2242232320,35478171648
67,5.537,3.289,0,36552704,4555153408,21820104704,2242252800,35478335488
68,8.361,4.748,0,73347072,4674822144,21624549376,2242256896,35550187520
69,19.462,3.354,0,91381760,4817092608,21376016384,2242256896,35655192576
70,19.213,4.555,7716864,51748864,5003296768,21156245504,2242285568,35686436864
71,14.357,2.414,0,7430144,5094887424,21085024256,2242310144,35664478208
72,28.761,2.196,0,0,5234761728,20942483456,2242310144,35664515072
73,43.214,2.082,0,266240,5392019456,20783177728,2242310144,35664596992
74,24.106,1.953,0,1458176,5449752576,20723408896,2242310144,35664650240
75,6.027,1.746,0,4096,5519540224,20653531136,2242310144,35664646144
76,4.456,1.833,0,0,5571170304,20601901056,2242310144,35664646144
77,3.54,0.833,0,540672,5601873920,20571197440,2242310144,35664646144
78,3.161,1.165,0,0,5631229952,20541841408,2242310144,35664646144
79,3.04,1.791,0,0,5629526016,20543520768,2242310144,35664670720
80,3.124,1.541,0,0,5661065216,20511981568,2242310144,35664670720
81,4.103,1.326,0,0,5686738944,20486324224,2242310144,35664670720
82,3.579,0.666,0,77824,5706547200,20466515968,2242310144,35664670720
83,3.79,2.249,0,1220608,5284069376,20885663744,2242322432,35667951616
84,4.963,2.564,0,860160,5282471936,20818878464,2242330624,35736244224
85,4.839,2.92,0,0,5278756864,20728008704,2242330624,35831603200
86,4.831,2.499,0,0,5277044736,20581175296,2242330624,35980259328
87,4.774,2.159,0,12288,5276684288,20429692928,2242330624,36130185216
88,4.297,2.336,0,741376,5253316608,20320534528,2242342912,36260970496
89,4.234,2.449,0,1687552,5229416448,20297388032,2242351104,36307111936
90,1.792,1.459,0,0,5242028032,20266536960,2242351104,36324646912
91,0.375,0.75,0,0,5242179584,20266381312,2242351104,36324651008
92,0.125,0.542,0,0,5241503744,20267057152,2242351104,36324651008
93,0.167,1.377,0,0,5241249792,20267311104,2242351104,36324651008
94,0.375,1.332,0,0,5242318848,20266242048,2242351104,36324651008
95,0.167,1.126,0,307200,5241679872,20266868736,2242351104,36324655104
96,0.209,0.5,0,0,5241638912,20266893312,2242351104,36324655104
97,0.25,1.043,0,28672,5240135680,20268396544,2242351104,36324655104
98,0.375,1.208,0,0,5237280768,20271247360,2242351104,36324659200
99,0.25,1.251,0,0,5237784576,20270743552,2242351104,36324659200
100,1.949,2.073,0,286720,5231034368,20277968896,2242351104,36324728832
101,0.251,0.251,0,261840896,5230276608,20284153856,2242351104,36324732928
102,2.256,1.796,16384,194285568,5199253504,20315250688,2242375680,36324904960
103,3.61,3.736,0,4341760,4598272000,20921274368,2242379776,36324683776
104,0.167,1.209,0,0,4597497856,20922130432,2242379776,36324683776
105,0.167,0.96,0,20480,4514570240,21005062144,2242379776,36324679680
106,4.03,2.867,0,2703360,4501917696,21471875072,2242396160,35874033664
107,4.104,2.612,0,16384,4507684864,21438722048,2242396160,35901411328
108,6.378,4.835,0,36229120,4569014272,21376626688,2242428928,35901657088
109,8.496,6.372,4210688,82632704,4723740672,21116735488,2242433024,36001755136
110,19.091,3.251,3506176,25636864,4906192896,20930650112,2242449408,36004102144
111,18.779,3.262,0,111902720,5004185600,20640456704,2242461696,36192403456
112,28.09,3.246,0,3432448,5157474304,20591587328,2242486272,36088012800
113,37.698,2.627,0,0,5336633344,20410298368,2242486272,36088049664
114,31.431,2.399,0,274432,5381091328,20364042240,2242486272,36088143872
115,5.412,1.082,0,40960,5236252672,20507537408,2242486272,36088168448
116,3.744,2.246,0,1208320,5254467584,20429676544,2242502656,36146966528
117,3.957,2.749,0,917504,5257416704,20363186176,2242506752,36208951296
118,4.776,3.032,0,0,5258317824,20235517952,2242506752,36333486080
119,5.031,2.786,0,0,5259337728,20061175808,2242506752,36505243648
120,4.762,1.921,0,0,5257068544,19893678080,2242506752,36672339968
121,3.856,2.032,0,1605632,5216407552,19884683264,2242519040,36720922624
122,3.204,1.998,0,831488,5229613056,19843260416,2242519040,36748439552
123,0.707,1.332,0,0,5227614208,19845771264,2242519040,36748439552
124,0.25,1.084,0,0,5227601920,19845857280,2242519040,36748439552
125,0.208,0.375,0,0,5226868736,19846737920,2242519040,36748439552
126,0.457,1.247,0,0,5226385408,19847217152,2242519040,36748443648
127,0.458,1.29,0,364544,5226631168,19846971392,2242519040,36748443648
128,0.334,1.126,0,0,5226196992,19847319552,2242519040,36748455936
129,0.167,1.126,0,0,5226840064,19846676480,2242519040,36748455936
130,0.125,0.25,0,0,5227380736,19846135808,2242519040,36748455936
131,0.333,1.292,0,0,5227728896,19845787648,2242519040,36748455936
132,0.625,1.333,0,28672,5230145536,19843371008,2242519040,36748455936
133,1.254,2.131,0,188469248,5222178816,19857358848,2242523136,36748398592
134,0.375,1.168,0,260575232,5222154240,19857383424,2242523136,36748398592
135,5.539,2.791,16384,11100160,4533153792,20549201920,2242523136,36748066816
136,5.727,4.515,0,3444736,4529025024,21009948672,2242531328,36297527296
137,13.512,5.165,0,9011200,4578127872,20850454528,2242531328,36407144448
138,4.433,3.639,0,110272512,4599488512,20829126656,2242568192,36407025664
139,3.42,1.209,0,937984,4629143552,20798320640,2242568192,36407357440
140,23.288,10.087,0,31461376,4912369664,20492984320,2242637824,36426878976
141,18.914,7.432,7716864,120586240,5041577984,20181622784,2242658304,36598722560
142,43.557,8.661,7716864,86876160,5511380992,19692826624,2242674688,36612202496
143,48.606,10.473,16384,142934016,5966118912,18983370752,2242695168,36858130432
144,57.994,7.973,7700480,130469888,6061961216,18757165056,2242715648,36979105792
145,63.514,6.852,32768,173342720,6481637376,18186952704,2242719744,37121040384
146,76.319,9.878,7684096,137027584,6892331008,17662631936,2242744320,37227266048
147,77.675,7.835,0,88371200,7075725312,17261133824,2242760704,37443452928
148,75.531,9.218,0,5955584,7261245440,17367605248,2242809856,37152522240
149,88.712,4.196,0,0,7567032320,17055911936,2242809856,37153259520
150,87.295,4.964,0,548864,7774687232,16843481088,2242809856,37153337344
151,52.542,5.292,0,475136,7781232640,16802713600,2242809856,37180874752
152,53.158,3.388,0,577536,7995351040,16585072640,2242809856,37180977152
153,35.614,2.405,0,495616,7789629440,16787193856,2242818048,37181145088
154,11.401,2.446,0,540672,7510564864,17004703744,2242818048,37242683392
155,2.285,1.413,0,0,7517908992,16976097280,2242818048,37263245312
156,0.375,1.377,0,0,7518478336,16975532032,2242818048,37263249408
157,0.459,1.252,0,16384,7518482432,16975470592,2242818048,37263249408
