Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_writ,mem_used,mem_free,mem_buff,mem_cach
1,22.581,4.388,885112.269,35220436.82,3632832512,14964580352,2277703680,42937528320
2,5.041,2.562,0,1069056,3678978048,14922059776,2277703680,42934702080
3,4.581,2.641,0,3383296,3686637568,14941614080,2277736448,42919710720
4,2.907,2.907,0,2707456,3673878528,15973662720,2277740544,41919090688
5,4.26,2.316,0,1515520,3689009152,17294262272,2277740544,40614461440
6,2.156,4.312,0,2355200,3669942272,20895559680,2277756928,37123018752
7,5.702,6.612,0,1609728,3702644736,22546092032,2277761024,35474915328
8,3.281,3.239,0,3248128,3702333440,23174893568,2277769216,34867093504
9,4.803,2.857,0,2535424,3685675008,23223779328,2277781504,34839674880
10,4.071,2.867,0,634880,3684503552,23199674368,2277781504,34866429952
11,5,2.625,0,37756928,3709042688,23174549504,2277785600,34866774016
12,9.125,5.986,0,2433024,3819278336,23058141184,2277789696,34869075968
13,18.812,3.589,0,52060160,3995295744,22855368704,2277814272,34891632640
14,22.287,3.368,0,8593408,4202143744,22670368768,2277847040,34868744192
15,34.957,2.972,0,1298432,4357599232,22510628864,2277855232,34870214656
16,44.601,6.063,0,54378496,4568875008,22042083328,2277863424,35123666944
17,40.449,3.829,16384,1740800,4634718208,22076030976,2277863424,35023400960
18,4.904,1.413,0,299008,4654149632,22048346112,2277863424,35031572480
19,3.877,1,4489216,23232512,4501491712,22196240384,2277863424,35036008448
20,4.623,1.125,0,0,4515385344,22182154240,2277863424,35036020736
21,3.082,1.208,0,1261568,4558942208,22138519552,2277863424,35036024832
22,1.042,1.417,0,0,4559167488,22138732544,2277863424,35036057600
23,0.417,1.168,0,0,4559515648,22138507264,2277863424,35036172288
24,0.25,0.083,0,0,4559859712,22138068992,2277863424,35036233728
25,0.417,1.084,0,0,4560769024,22137106432,2277863424,35036286976
26,0.459,1.292,0,77824,4560326656,22137532416,2277863424,35036319744
27,0.748,1.206,0,0,4562313216,22135545856,2277863424,35036319744
28,0.666,0.958,0,0,4562919424,22134599680,2277863424,35036659712
29,0.25,0.376,0,0,4562575360,22134902784,2277863424,35036700672
30,2.875,1.667,0,2252800,4500828160,22196887552,2277867520,35036311552
31,4.691,1.287,0,0,4521259008,22176616448,2277867520,35036102656
32,3.199,1.329,0,1245184,4552339456,22145482752,2277871616,35036110848
33,0.334,0.959,0,0,4521902080,22175895552,2277871616,35036135424
34,0.376,0.334,0,0,4520144896,22177660928,2277871616,35036135424
35,0.167,1.335,0,0,4519948288,22177857536,2277871616,35036135424
36,0.167,1.292,0,0,4520083456,22177722368,2277871616,35036135424
37,0.25,1.168,0,69632,4519641088,22178160640,2277871616,35036139520
